,T,V,V_c,I,P,V_gen,Mediciones p/s,Fecha,Periodo,Distancia
0,0.12017505,145.8525041332098,6.1255e-06,4.1388513513513515e-10,0.192,1.54,0.3,Fri Oct 18 12:34:05 2024,110.0,15.6
1,0.15766426500000003,191.3519327511249,6.1775e-06,4.1739864864864864e-10,0.191,,,,,
2,0.195892335,237.74808584707176,5.7925e-06,3.913851351351351e-10,0.191,,,,,
3,0.23381586999999998,283.7746332884391,6.937e-06,4.687162162162162e-10,0.191,,,,,
4,0.27262492,330.8759017663426,7.509999999999999e-06,5.074324324324324e-10,0.191,,,,,
5,0.31056249,376.9194819951397,9.6855e-06,6.544256756756757e-10,0.191,,,,,
6,0.3483846,422.82293714896673,6.927e-06,4.680405405405405e-10,0.192,,,,,
7,0.386837205,469.4915975846103,9.9555e-06,6.726689189189189e-10,0.188,,,,,
8,0.425034375,515.8502484386674,9.497499999999998e-06,6.417229729729729e-10,0.188,,,,,
9,0.463373885,562.3816532311472,8.483e-06,5.731756756756757e-10,0.192,,,,,
10,0.5015897,608.7629313791887,9.554999999999999e-06,6.45608108108108e-10,0.194,,,,,
11,0.53935786,654.600905864852,1.0122e-05,6.83918918918919e-10,0.19,,,,,
12,0.5775807399999999,700.9907481047981,2.16605e-05,1.4635472972972973e-09,0.192,,,,,
13,0.615536585,747.0564967037346,3.5233e-05,2.3806081081081082e-09,0.193,,,,,
14,0.6538421050000001,793.5466326138359,5.05545e-05,3.4158445945945946e-09,0.189,,,,,
15,0.69172122,839.5138341429652,0.0054865165,3.7071057432432434e-07,0.191,,,,,
16,0.6178964650000001,697.6822937672226,52.238347000000005,0.003529618040540541,0.192,,,,,
17,0.595736115,678.0629649721558,44.962387,0.0030379991216216216,0.193,,,,,
18,0.570867605,654.6738293521088,38.169428999999994,0.0025790154729729725,0.188,,,,,
19,0.5448670499999999,629.4400254048969,31.847213500000002,0.00215183875,0.193,,,,,
20,0.51796729,602.8497408893857,25.790143,0.0017425772297297297,0.192,,,,,
21,0.491857135,576.9727065226942,19.97814,0.0013498743243243244,0.188,,,,,
22,0.46311632999999996,547.6313056717058,14.43777,0.000975525,0.187,,,,,
23,0.43550559,518.9371315369281,9.62169605,0.000650114597972973,0.192,,,,,
24,0.40971845,491.7742421142212,5.4875808,0.00037078248648648646,0.19,,,,,
25,0.39000215,473.33281425853454,-1.6945e-05,-1.1449324324324325e-09,0.193,,,,,
26,0.34827711,422.69248791517055,-9.21e-07,-6.222972972972972e-11,0.192,,,,,
27,0.31014727,376.4155531297244,-3.225e-07,-2.179054054054054e-11,0.192,,,,,
28,0.27186902999999996,329.9585102954355,1.2e-07,8.108108108108107e-12,0.188,,,,,
29,0.233948205,283.93525140354063,-5.36e-07,-3.6216216216216216e-11,0.192,,,,,
30,0.19580922,237.64721867802118,-9.835e-07,-6.64527027027027e-11,0.193,,,,,
31,0.15820721,192.01089459908692,-1.1605e-06,-7.841216216216215e-11,0.192,,,,,
32,0.119686915,145.260079322659,-2.4775e-06,-1.6739864864864865e-10,0.191,,,,,
33,0.081099695,98.42803629581533,-7.179999999999999e-07,-4.851351351351351e-11,0.193,,,,,
34,0.042602751499999994,51.70556154080646,-1.6079999999999999e-06,-1.0864864864864865e-10,0.189,,,,,
35,0.018062568,21.921946164803398,-7.649999999999999e-07,-5.168918918918918e-11,0.192,,,,,
36,0.024675759499999998,29.94815573483303,2.9355e-06,1.983445945945946e-10,0.192,,,,,
37,0.066343361,80.51875110768576,6.6615000000000005e-06,4.5010135135135136e-10,0.19,,,,,
38,0.10449373149999999,126.82060250352492,6.646e-06,4.4905405405405407e-10,0.193,,,,,
39,0.14204104,172.39053667493351,7.3169999999999996e-06,4.943918918918919e-10,0.188,,,,,
40,0.18035719,218.89358880832347,7.697000000000001e-06,5.200675675675676e-10,0.192,,,,,
41,0.218343405,264.99620936406103,8.384e-06,5.664864864864865e-10,0.189,,,,,
42,0.257192505,312.14608632526347,7.843e-06,5.299324324324324e-10,0.192,,,,,
43,0.295272615,358.3626646214129,8.0665e-06,5.450337837837838e-10,0.19,,,,,
44,0.33284378,403.9615532151505,8.1655e-06,5.51722972972973e-10,0.19,,,,,
45,0.371275125,450.6044134807161,8.8005e-06,5.946283783783783e-10,0.188,,,,,
46,0.41070307500000003,498.4568217128488,8.2175e-06,5.552364864864866e-10,0.192,,,,,
47,0.44775312,543.4232428536411,9.545000000000001e-06,6.449324324324325e-10,0.193,,,,,
48,0.48587899999999995,589.695372621179,7.8425e-06,5.298986486486487e-10,0.189,,,,,
49,0.523811985,635.7333900961,8.108000000000001e-06,5.478378378378379e-10,0.189,,,,,
50,0.5621833700000001,682.3034783954396,9.227e-06,6.234459459459459e-10,0.188,,,,,
51,0.6001962249999999,728.438430783514,1.01745e-05,6.874662162162163e-10,0.188,,,,,
52,0.638656675,775.1166108869378,1.4754e-05,9.96891891891892e-10,0.189,,,,,
53,0.67640356,820.9287359230162,4.4002e-05,2.9731081081081084e-09,0.192,,,,,
54,0.614748165,693.1538829834857,52.9457695,0.003577416858108108,0.193,,,,,
55,0.606268825,688.0252655842157,47.7832905,0.0032286007094594594,0.192,,,,,
56,0.58091046,664.0140285431225,41.017913,0.002771480608108108,0.192,,,,,
57,0.5557238099999999,639.9742048564401,34.489526999999995,0.0023303734459459457,0.192,,,,,
58,0.52965002,614.6345529956054,28.1842765,0.0019043430067567568,0.189,,,,,
59,0.5022087,587.2685288991325,22.245672,0.0015030859459459458,0.192,,,,,
60,0.47473587500000003,559.5668477191454,16.604488,0.001121924864864865,0.188,,,,,
61,0.44669239,530.7784427441742,11.3574365,0.0007673943581081082,0.191,,,,,
62,0.418434435,500.9921968258565,6.84793075,0.0004626980236486486,0.192,,,,,
63,0.39448758500000003,476.76182022842954,2.0148021915,0.00013613528320945945,0.188,,,,,
64,0.36005289500000004,436.9843708393974,-4.425e-07,-2.989864864864865e-11,0.188,,,,,
65,0.32140899,390.0835315742389,8.33e-07,5.628378378378378e-11,0.193,,,,,
66,0.28358873500000004,344.1823307399724,6.244999999999999e-07,4.219594594594594e-11,0.189,,,,,
67,0.245027295,297.3815782017179,2.345e-07,1.5844594594594594e-11,0.189,,,,,
68,0.207020395,251.2538529465128,-4.58e-07,-3.0945945945945944e-11,0.189,,,,,
69,0.16907263,205.19789723163643,-4.839999999999999e-07,-3.2702702702702697e-11,0.192,,,,,
70,0.13060741,158.51392350741418,-6.350000000000001e-07,-4.2905405405405406e-11,0.189,,,,,
71,0.0921882785,111.88588647456723,-1.379e-06,-9.317567567567568e-11,0.189,,,,,
72,0.0539282505,65.4509469208874,-9.11e-07,-6.155405405405405e-11,0.191,,,,,
73,0.016376672,19.875834091254607,-5.2825e-06,-3.5692567567567565e-10,0.193,,,,,
74,0.02421265,29.386096135507948,1.7484999999999999e-06,1.1814189189189189e-10,0.191,,,,,
75,0.0554958545,67.35348938710155,6.0995e-06,4.1212837837837835e-10,0.188,,,,,
76,0.09258934199999999,112.37263625199421,6.438e-06,4.35e-10,0.193,,,,,
77,0.13024263,158.07119380297107,7.5670000000000006e-06,5.112837837837839e-10,0.188,,,,,
78,0.1697963,206.07618341551773,7.8375e-06,5.295608108108109e-10,0.189,,,,,
79,0.20656955999999999,250.70668033510242,8.5245e-06,5.759797297297297e-10,0.188,,,,,
80,0.24531060500000001,297.7254138785698,8.5975e-06,5.809121621621621e-10,0.192,,,,,
81,0.28294416,343.40002362370456,8.238499999999999e-06,5.566554054054054e-10,0.192,,,,,
82,0.32135543,390.0185195682633,8.826500000000001e-06,5.963851351351352e-10,0.193,,,,,
83,0.359441585,436.2424345448257,8.9875e-06,6.072635135135135e-10,0.19,,,,,
84,0.39726237,482.14427827418086,9.5445e-06,6.448986486486487e-10,0.193,,,,,
85,0.43585943000000005,528.9882624947662,9.076e-06,6.132432432432431e-10,0.193,,,,,
86,0.474013885,575.2950709945736,9.18e-06,6.202702702702702e-10,0.193,,,,,
87,0.5120268400000001,621.4301457798632,9.097000000000001e-06,6.146621621621623e-10,0.188,,,,,
88,0.5497980950000001,667.2718765078514,9.7215e-06,6.568581081081081e-10,0.189,,,,,
89,0.5884569,714.1907987260229,9.1335e-06,6.171283783783784e-10,0.19,,,,,
90,0.62673997,760.6537020736395,1.0189999999999999e-05,6.885135135135134e-10,0.189,,,,,
91,0.6643578649999999,806.309284438228,3.1184e-05,2.107027027027027e-09,0.192,,,,,
92,0.60575585,684.0364866786953,51.149488500000004,0.0034560465202702704,0.193,,,,,
93,0.613769445,694.8980556718702,50.0137565,0.0033793078716216215,0.194,,,,,
