,T,V,V_c,I,P,V_gen,Mediciones p/s,Fecha,Periodo
0,0.57996025,-9.9e+37,9.9e+37,6.689189189189189e+33,0.501,1.58,0.3,Fri Oct 18 13:52:18 2024,50.0
1,0.59090383,-9.9e+37,9.9e+37,6.689189189189189e+33,0.501,,,,
2,0.60121324,-9.9e+37,9.9e+37,6.689189189189189e+33,0.501,,,,
3,0.61194309,-9.9e+37,9.9e+37,6.689189189189189e+33,0.501,,,,
4,0.61266148,-9.9e+37,9.9e+37,6.689189189189189e+33,0.501,,,,
5,0.60204367,-9.9e+37,9.9e+37,6.689189189189189e+33,0.501,,,,
6,0.5916718,-9.9e+37,9.9e+37,6.689189189189189e+33,0.501,,,,
7,0.58154473,-9.9e+37,9.9e+37,6.689189189189189e+33,0.499,,,,
8,0.57119546,578.2144251950921,115.02674,0.007772077027027027,0.501,,,,
9,0.56062567,572.0831583051644,108.3298,0.0073195810810810814,0.501,,,,
10,0.5500996,565.7320329429707,101.90578,0.006885525675675675,0.501,,,,
11,0.53957205,559.3292513533971,95.53162,0.006454839189189189,0.497,,,,
12,0.52868883,552.7731337691037,88.879131,0.006005346689189189,0.499,,,,
13,0.51768197,545.8214183785653,82.472182,0.00557244472972973,0.501,,,,
14,0.50714942,539.3137024532489,76.196888,0.005148438378378378,0.497,,,,
15,0.49621285,532.5178347265812,69.7194,0.00471077027027027,0.491,,,,
16,0.48452087,524.4678146992375,63.579248,0.004295895135135135,0.493,,,,
17,0.47344495,517.215304455421,57.389278,0.003877653918918919,0.499,,,,
18,0.46206702,509.46602559607516,51.329537,0.0034682119594594595,0.497,,,,
19,0.45029779,501.212326781507,45.299308,0.0030607640540540543,0.501,,,,
20,0.43876001,493.11850622846754,39.390104,0.0026614935135135134,0.499,,,,
21,0.42650206,483.86652000506695,33.765019,0.002281420202702703,0.491,,,,
22,0.41390108,474.31340853970363,28.024735,0.0018935631756756756,0.49,,,,
23,0.40173311,464.8030310863282,22.767247,0.0015383275,0.491,,,,
24,0.38841093,453.8758318734406,17.525754,0.0011841725675675674,0.49,,,,
25,0.37469746,442.1262118420022,12.631786,0.0008534990540540541,0.49,,,,
26,0.36120853,437.72653763209615,0.660389,4.462087837837838e-05,0.491,,,,
27,0.35493448,430.7723182588218,0.0,0.0,0.491,,,,
28,0.33150221,402.3333319441887,1e-05,6.756756756756757e-10,0.491,,,,
29,0.30957205,375.71744819004334,-2.1e-05,-1.4189189189189188e-09,0.495,,,,
30,0.28642911,347.6296321914962,-3.1e-05,-2.094594594594595e-09,0.499,,,,
31,0.26319171,319.4271631940983,-3.1e-05,-2.094594594594595e-09,0.493,,,,
32,0.2399679,291.241187933249,-3.1e-05,-2.094594594594595e-09,0.491,,,,
33,0.21731111,263.74337621896274,-2.1e-05,-1.4189189189189188e-09,0.491,,,,
34,0.19382254,235.23605944386696,-1e-05,-6.756756756756757e-10,0.491,,,,
35,0.17079395,207.28702728375495,-2.1e-05,-1.4189189189189188e-09,0.491,,,,
36,0.14816573,179.82392103990242,-4.2e-05,-2.8378378378378377e-09,0.491,,,,
37,0.12511683,151.85022830000364,-4.2e-05,-2.8378378378378377e-09,0.49,,,,
38,0.1019894,123.78123627893025,-5.2e-05,-3.5135135135135133e-09,0.49,,,,
39,0.07918899,96.10911768877124,-4.2e-05,-2.8378378378378377e-09,0.493,,,,
40,0.05663527,68.73640864748464,-4.2e-05,-2.8378378378378377e-09,0.491,,,,
41,0.03287022,39.89354817916154,-4.2e-05,-2.8378378378378377e-09,0.49,,,,
42,0.01320959,16.0320244286339,2.1e-05,1.4189189189189188e-09,0.49,,,,
43,0.02398515,29.10999860771594,-1e-05,-6.756756756756757e-10,0.49,,,,
44,0.02438603,29.596544494221178,-2.1e-05,-1.4189189189189188e-09,0.491,,,,
45,0.05812026,70.5386602263896,-1e-05,-6.756756756756757e-10,0.491,,,,
46,0.07643158,92.76250775672568,-1e-05,-6.756756756756757e-10,0.491,,,,
47,0.09970108,121.00391546959162,1e-05,6.756756756756757e-10,0.49,,,,
48,0.12301231,149.29597851256597,2.1e-05,1.4189189189189188e-09,0.49,,,,
49,0.14566462,176.78834299802674,2.1e-05,1.4189189189189188e-09,0.49,,,,
50,0.16828741,204.24487002926276,3.1e-05,2.094594594594595e-09,0.49,,,,
51,0.19207099,233.11021974984823,3.1e-05,2.094594594594595e-09,0.49,,,,
52,0.21467892,260.54874268725695,1e-05,6.756756756756757e-10,0.491,,,,
53,0.23767351,288.45651016431873,2.1e-05,1.4189189189189188e-09,0.491,,,,
54,0.26131116,317.1447394379183,3.1e-05,2.094594594594595e-09,0.49,,,,
55,0.28368279,344.29644082812797,4.2e-05,2.8378378378378377e-09,0.49,,,,
56,0.30656785,372.0712973424105,3.1e-05,2.094594594594595e-09,0.49,,,,
57,0.33044592,401.05129447186124,6.3e-05,4.256756756756757e-09,0.49,,,,
58,0.35337563,428.88032022432594,7.3e-05,4.932432432432432e-09,0.49,,,,
59,0.37567706,455.9467911807084,0.000115,7.77027027027027e-09,0.491,,,,
