,T,V,V_c,I,P,Mediciones p/s,Fecha,Periodo,Distancia
0,0.040005839,48.55380763643315,-3.50925e-05,-2.371114864864865e-09,0.187,0.3,Fri Oct 18 11:59:57 2024,50.0,15.6
1,0.040045384,48.60177201282202,-5.0015e-06,-3.379391891891892e-10,0.187,,,,
2,0.127777865,155.07978835360896,8.707e-06,5.883108108108108e-10,0.192,,,,
3,0.213941755,259.65407032920615,9.4145e-06,6.361148648648648e-10,0.187,,,,
4,0.301776315,366.2559870703486,1.2651499999999999e-05,8.54831081081081e-10,0.188,,,,
5,0.39034972,473.7546185468513,1.30575e-05,8.822635135135135e-10,0.188,,,,
6,0.476677835,578.5282152074169,1.35675e-05,9.16722972972973e-10,0.187,,,,
7,0.5666308849999999,687.7012765490618,1.3921499999999999e-05,9.406418918918918e-10,0.188,,,,
8,0.6557729800000001,795.8901076572658,1.50665e-05,1.0180067567567569e-09,0.191,,,,
9,0.631350055,708.9125339800993,57.336287,0.003874073445945946,0.192,,,,
10,0.6014176,686.2606351715577,43.6601485,0.002950010033783784,0.193,,,,
11,0.54178417,628.4448562260175,29.1007925,0.0019662697635135134,0.191,,,,
12,0.47969438,566.2636263434983,15.925684,0.0010760597297297299,0.192,,,,
13,0.41393968999999997,497.02435642830864,5.3606468,0.00036220586486486483,0.191,,,,
14,0.347734965,422.03452389692734,-2.0478999999999998e-05,-1.3837162162162161e-09,0.192,,,,
15,0.25970844000000004,315.19961030861623,-8.483e-06,-5.731756756756757e-10,0.192,,,,
16,0.17200616,208.75823307088217,-7.333e-06,-4.95472972972973e-10,0.192,,,,
17,0.083868866,101.78890155269478,-1.4103500000000001e-05,-9.529391891891892e-10,0.192,,,,
18,0.019732069499999998,23.948180298785502,-1.5774e-05,-1.0658108108108107e-09,0.191,,,,
19,0.087705529,106.4453112882996,8.004e-06,5.408108108108108e-10,0.189,,,,
20,0.1739928,211.1693345283504,1.09135e-05,7.373986486486486e-10,0.187,,,,
21,0.261675755,317.58725560343896,1.18085e-05,7.978716216216217e-10,0.188,,,,
22,0.349172355,423.77900360156195,1.2839e-05,8.675000000000001e-10,0.188,,,,
23,0.437009355,530.3838839285469,1.3837999999999999e-05,9.35e-10,0.187,,,,
24,0.52463048,636.7267642028413,1.4494e-05,9.793243243243244e-10,0.188,,,,
25,0.612644665,743.5466882165397,1.542e-05,1.041891891891892e-09,0.188,,,,
26,0.649988225,761.5033879579345,27.36596766,0.0018490518689189188,0.192,,,,
27,0.62788167,711.0014330471232,51.037923,0.0034485083108108106,0.192,,,,
28,0.57041975,656.7087879513011,35.5909235,0.0024047921283783785,0.191,,,,
29,0.509019915,595.9395492862504,21.841199500000002,0.001475756722972973,0.191,,,,
30,0.44476957500000003,530.1120467459614,9.690175100000001,0.0006547415608108109,0.187,,,,
31,0.38434309499999997,466.4646128882743,-2.472e-05,-1.6702702702702703e-09,0.188,,,,
32,0.291409275,353.67387187678656,-8.0305e-06,-5.426013513513514e-10,0.188,,,,
33,0.203269025,246.70094409350813,-6.136e-06,-4.145945945945946e-10,0.187,,,,
34,0.11552599,140.21010760813553,-8.743e-06,-5.907432432432433e-10,0.191,,,,
35,0.028894766000000002,35.06865709084424,-2.8831999999999998e-05,-1.948108108108108e-09,0.188,,,,
36,0.0476519545,57.83360942919751,2.311e-06,1.5614864864864864e-10,0.191,,,,
37,0.14461304000000003,175.51208582246895,1.00755e-05,6.807770270270271e-10,0.187,,,,
38,0.229732255,278.818478024169,1.2828500000000001e-05,8.667905405405406e-10,0.187,,,,
39,0.31746686,385.2990843359794,1.4395e-05,9.72635135135135e-10,0.187,,,,
40,0.405276345,491.8705700643722,1.5941000000000002e-05,1.0770945945945948e-09,0.189,,,,
41,0.49284835000000005,598.1538389743307,1.2631e-05,8.53445945945946e-10,0.188,,,,
42,0.58133857,705.5515084580824,1.6128e-05,1.0897297297297296e-09,0.188,,,,
43,0.66878577,811.6751503065677,0.008168151,5.519020945945946e-07,0.189,,,,
44,0.634533985,712.8853022243386,57.22775,0.0038667398648648647,0.191,,,,
45,0.59088683,676.1491360737658,40.990798,0.0027696485135135134,0.191,,,,
46,0.5315185899999999,618.4430450193457,26.643606499999997,0.0018002436824324322,0.192,,,,
47,0.46824319999999997,554.5308723655222,13.760517,0.0009297646621621621,0.187,,,,
48,0.404447,488.2614983600694,2.602538864,0.00017584722054054055,0.188,,,,
49,0.322715455,391.66915753945136,-1.1481e-05,-7.757432432432433e-10,0.188,,,,
50,0.23455448499999998,284.67108037635523,-7.39e-06,-4.993243243243244e-10,0.188,,,,
51,0.14703606,178.4528430467154,-7.3745e-06,-4.98277027027027e-10,0.187,,,,
52,0.058204940999999996,70.64145286669479,-2.80925e-05,-1.8981418918918917e-09,0.187,,,,
53,0.0238750145,28.976327383978315,-6.6145e-06,-4.4692567567567565e-10,0.188,,,,
54,0.111887563,135.79425115888796,8.384e-06,5.664864864864865e-10,0.187,,,,
55,0.198429795,240.8277119602967,1.1521999999999999e-05,7.785135135135135e-10,0.188,,,,
56,0.28634651499999997,347.5293467478628,1.16055e-05,7.841554054054054e-10,0.188,,,,
57,0.37427609500000003,454.24658768695923,1.3297e-05,8.984459459459459e-10,0.187,,,,
58,0.46203200499999997,560.7530518908692,1.415e-05,9.560810810810811e-10,0.188,,,,
59,0.549590155,667.0195007269846,1.55555e-05,1.0510472972972973e-09,0.188,,,,
60,0.637275035,773.4397581268341,1.6435e-05,1.1104729729729731e-09,0.188,,,,
61,0.62078513,696.5578230808493,56.8686955,0.003842479425675676,0.193,,,,
62,0.612059415,696.3591039378588,46.477301,0.0031403581756756756,0.192,,,,
63,0.55323309,639.9238513162377,31.5169755,0.0021295253716216217,0.19,,,,
64,0.49121300999999995,578.0766181706432,18.092475,0.001222464527027027,0.191,,,,
65,0.42693625999999996,511.12877173096126,7.02974155,0.0004749825371621621,0.188,,,,
66,0.36381237,441.547139957141,-1.8257e-05,-1.2335810810810813e-09,0.187,,,,
67,0.273291575,331.6850142722501,-7.723e-06,-5.218243243243243e-10,0.19,,,,
68,0.188087495,228.2756206324895,-6.9005e-06,-4.6625e-10,0.188,,,,
69,0.10022879200000001,121.64440288238004,-1.06945e-05,-7.226013513513514e-10,0.187,,,,
70,0.0253060715,30.713175246561256,-2.76085e-05,-1.865439189189189e-09,0.19,,,,
71,0.071174056,86.38160674678443,6.848500000000001e-06,4.627364864864865e-10,0.19,,,,
72,0.157185185,190.77048411360408,1.11575e-05,7.538851351351351e-10,0.191,,,,
73,0.244940375,297.2760742631672,1.2224500000000001e-05,8.259797297297298e-10,0.191,,,,
74,0.33283273,403.94813698365925,1.3375e-05,9.037162162162162e-10,0.188,,,,
75,0.42116418,511.15311576073776,1.36455e-05,9.219932432432432e-10,0.188,,,,
76,0.50922026,618.023888321124,1.261e-05,8.52027027027027e-10,0.187,,,,
77,0.59672409,724.224409545231,1.5228e-05,1.028918918918919e-09,0.187,,,,
78,0.6736882900000001,791.7591805936102,25.874165333,0.001748254414391892,0.192,,,,
79,0.6345369599999999,715.5651978841055,54.551465,0.0036859097972972974,0.191,,,,
80,0.5809966049999999,666.716636399633,38.4198565,0.00259593625,0.191,,,,
81,0.520335545,607.2484186822425,24.265738499999998,0.0016395769256756754,0.192,,,,
82,0.457085745,542.95102177075,11.798931,0.0007972250675675676,0.19,,,,
83,0.3925847,474.667471028487,1.7996823794999999,0.00012160016077702701,0.188,,,,
84,0.30703425500000003,372.6373975743237,-8.805499999999999e-06,-5.949662162162161e-10,0.188,,,,
85,0.219462455,266.35437784113066,-5.8705e-06,-3.966554054054054e-10,0.192,,,,
86,0.13167882,159.81426471052745,-6.7185e-06,-4.539527027027027e-10,0.188,,,,
87,0.0429277745,52.100064283925185,-3.4613499999999996e-05,-2.3387499999999996e-09,0.187,,,,
88,0.039627958500000005,48.09515252401067,-1.1290000000000001e-06,-7.62837837837838e-11,0.189,,,,
89,0.127226305,154.4103751611623,1.1646999999999999e-05,7.869594594594594e-10,0.187,,,,
90,0.21380727500000002,259.49085497107103,1.08145e-05,7.307094594594594e-10,0.187,,,,
91,0.301943695,366.4591298446706,1.34845e-05,9.111148648648648e-10,0.187,,,,
92,0.38947619499999997,472.6944484939261,1.4514500000000001e-05,9.807094594594595e-10,0.187,,,,
93,0.477374875,579.3741883046326,1.50195e-05,1.0148310810810812e-09,0.188,,,,
94,0.564955645,685.6680913691479,1.5347500000000002e-05,1.0369932432432434e-09,0.188,,,,
95,0.65235652,791.7436610174775,1.644e-05,1.1108108108108106e-09,0.191,,,,
96,0.6307566149999999,708.1455158474719,57.3830665,0.003877234222972973,0.192,,,,
97,0.6018291549999999,686.6721549548733,43.7481195,0.0029559540202702705,0.191,,,,
98,0.54051536,627.326643711283,28.679092,0.0019377764864864865,0.191,,,,
99,0.480242555,566.8642358326473,15.9903765,0.0010804308445945946,0.188,,,,
