,T,V,V_c,I,P,Mediciones p/s,Fecha,Periodo
0,0.75255666,913.3532839652177,1.1689e-05,7.897972972972972e-10,0.0572,0.3,Fri Sep 27 13:25:00 2024,50.0
1,0.75255352,913.3494917443711,-7.005e-06,-4.733108108108108e-10,0.0568,,,
2,0.75256607,913.3647114320853,4.83e-06,3.2635135135135135e-10,0.056,,,
3,0.75257172,913.3715728774746,6.04e-07,4.0810810810810807e-11,0.0558,,,
4,0.75256869,913.3678945300145,1.54e-06,1.0405405405405406e-10,0.118,,,
5,0.75257214,913.3720874576768,-4.236e-06,-2.862162162162162e-10,4.7,,,
6,0.75257371,913.3739832251001,5.454e-06,3.685135135135135e-10,11.9,,,
7,0.75257915,913.3805955143881,-4.486e-06,-3.031081081081081e-10,14.3,,,
8,0.75257915,913.380593599388,-2.571e-06,-1.737162162162162e-10,1.66,,,
9,0.75258522,850.6264419879798,62.761516,0.004240642972972973,0.212,,,
10,0.48520849,588.881622884914,-1.8381e-05,-1.2419594594594594e-09,0.0923,,,
11,0.052992745,64.31557396226238,-2.0245e-05,-1.3679054054054053e-09,0.0622,,,
12,0.005562673,6.7512428561499815,-9.378e-06,-6.336486486486486e-10,0.0612,,,
13,0.000820913,0.9963199069063969,-4.767e-06,-3.220945945945946e-10,3.87,,,
14,0.000272235,0.3304132201817853,-1.0544e-05,-7.124324324324324e-10,11.1,,,
15,0.000202674,0.2459777346624503,1.041e-06,7.033783783783784e-11,20.5,,,
16,0.000142054,0.17240757411817853,-1.301e-06,-8.790540540540539e-11,33.2,,,
17,0.000109262,0.1326030579833755,4.642e-06,3.136486486486486e-10,43.2,,,
18,9.6468e-05,0.11708419548500179,-4.153e-06,-2.806081081081081e-10,2.62,,,
19,8.5433e-05,0.1036882455009035,-1.02e-06,-6.891891891891891e-11,0.251,,,
20,0.044882909,54.47290993604518,2.248e-06,1.5189189189189187e-10,0.0933,,,
21,0.024270778,29.45664860301807,-2.675e-06,-1.8074324324324322e-10,0.0634,,,
22,0.11062864,134.2663414442512,4.611e-06,3.115540540540541e-10,0.0551,,,
23,0.17419683,211.41696677516626,3.175e-06,2.1452702702702704e-10,0.0516,,,
24,0.24673727,299.4569205635363,-1.645e-06,-1.1114864864864864e-10,0.0506,,,
25,0.31941686,387.66574314462525,6.526e-06,4.4094594594594596e-10,0.0504,,,
26,0.39166934,475.3562021789028,8.868e-06,5.991891891891892e-10,0.0504,,,
27,0.46462232,563.89684040073,5.86e-06,3.9594594594594596e-10,0.0504,,,
28,0.53770825,652.5988328599552,5.662e-06,3.825675675675676e-10,0.0514,,,
29,0.61022764,740.6132358518486,3.945e-06,2.665540540540541e-10,0.0514,,,
