,T,V,V_c,I,P,Mediciones p/s,Fecha,Periodo,Distancia
0,0.52097396,513.5174804948753,118.7715,0.008025101351351352,2.77,0.3,Fri Sep 27 13:59:26 2024,50.0,15.6
1,0.52869228,523.4162819207661,118.24017,0.007989200675675675,2.81,,,,
2,0.52892965,524.1452800918142,117.79926,0.007959409459459459,2.87,,,,
3,0.52993321,525.6871378953994,117.47539,0.007937526351351351,2.92,,,,
4,0.52977043,526.1044371569606,116.86053,0.007895981756756756,2.98,,,,
5,0.53229529,529.080866793614,116.94844,0.007901921621621621,3.04,,,,
6,0.53181176,528.8773523172822,116.56511,0.007876020945945946,3.11,,,,
7,0.53307822,531.3760032142177,115.60352,0.007811048648648649,3.17,,,,
8,0.53326412,531.4744339371305,115.73071,0.007819642567567568,3.22,,,,
9,0.53440849,533.4781382119011,115.11589,0.007778100675675676,3.28,,,,
10,0.53506068,535.3440097895049,114.04156,0.007705510810810811,3.33,,,,
11,0.53736334,538.4934325857535,113.6868,0.007681540540540541,3.4,,,,
12,0.53734503,539.1259403402638,113.03207,0.007637302027027028,3.45,,,,
13,0.53912305,541.3463948037045,112.96954,0.007633077027027027,3.47,,,,
14,0.53922975,541.4558130884532,112.98962,0.007634433783783784,3.5,,,,
15,0.53931941,541.996110484991,112.55814,0.007605279729729729,3.52,,,,
16,0.54064633,544.0324796977267,112.13221,0.007576500675675676,3.52,,,,
17,0.54014784,544.7790087608529,110.78068,0.0074851810810810816,3.59,,,,
18,0.54308519,548.0062839596061,111.11837,0.007507997972972973,3.58,,,,
19,0.54348597,549.1786974793964,110.43237,0.007461646621621622,3.63,,,,
20,0.54445113,550.9590104644778,109.82344,0.007420502702702703,3.64,,,,
21,0.5450671,551.7180930179618,109.81194,0.007419725675675676,3.7,,,,
22,0.54601024,553.9591710524322,108.71552,0.007345643243243243,3.7,,,,
23,0.54779757,556.4535947570256,108.39032,0.007323670270270271,3.75,,,,
24,0.54643404,555.3538031899818,107.83524,0.007286164864864865,3.75,,,,
25,0.54724751,556.7473850053018,107.42894,0.007258712162162162,3.8,,,,
26,0.54802155,557.5824919249548,107.53326,0.00726576081081081,3.81,,,,
27,0.54893598,559.4926555755908,106.73291,0.007211683108108108,3.87,,,,
28,0.55035454,561.2896452458185,106.65758,0.007206593243243243,3.87,,,,
29,0.55076055,561.9754462447959,106.46454,0.00719355,3.91,,,,
