,T,V,V_c,I,P,V_gen,Distancia,Mediciones p/s,Fecha,Periodo
0,0.02487724,30.191075934253703,0.001613,1.0898648648648649e-07,0.501,2.77,4.0,0.3,Fri Oct 25 10:55:43 2024,20.0
1,0.02535846,30.775860839472355,0.000869,5.8716216216216215e-08,0.501,,,,,
2,0.11535449,140.00099194916154,0.000963,6.506756756756757e-08,0.501,,,,,
3,0.30356923,368.4310387574666,0.000963,6.506756756756757e-08,0.501,,,,,
4,0.31993785,388.2971111183412,0.000947,6.39864864864865e-08,0.501,,,,,
5,0.34332259,416.67847483340444,0.000874,5.9054054054054054e-08,0.501,,,,,
6,0.36822075,446.8966006844055,0.000827,5.587837837837838e-08,0.501,,,,,
7,0.38994562,473.2633037096278,0.000885,5.97972972972973e-08,0.501,,,,,
8,0.41058947,498.31782227393927,0.001129,7.628378378378378e-08,0.501,,,,,
9,0.43474138,527.6304570153452,0.000874,5.9054054054054054e-08,0.501,,,,,
10,0.45851668,556.4856425719407,0.000989,6.682432432432432e-08,0.501,,,,,
11,0.47821203,580.3888778458655,0.001353,9.141891891891893e-08,0.501,,,,,
12,0.39840541,439.17855791614386,44.353,0.0029968243243243243,0.501,,,,,
13,0.42238297,454.8813347902024,57.751,0.0039020945945945945,0.501,,,,,
14,0.43322796,462.3735428794073,63.421,0.0042852027027027026,0.501,,,,,
15,0.44025803,464.75670789031807,69.57,0.004700675675675676,0.501,,,,,
16,0.45117277,472.56256926313335,75.011,0.00506831081081081,0.501,,,,,
17,0.46095768,479.19019308151786,80.259,0.005422905405405406,0.501,,,,,
18,0.47207467,491.3645186351247,81.577,0.0055119594594594595,0.501,,,,,
19,0.4843215,492.5380938798338,95.267,0.006436959459459459,0.501,,,,,
20,0.49670083,501.9554800217238,100.874,0.00681581081081081,0.501,,,,,
21,0.5054117,505.1065767758945,108.295,0.0073172297297297295,0.501,,,,,
22,0.50068314,503.7296788440116,103.933,0.0070225,0.501,,,,,
23,0.49056347,498.00876781098304,97.372,0.0065791891891891895,0.501,,,,,
24,0.47964873,491.3379064381677,90.796,0.006134864864864865,0.501,,,,,
25,0.47010095,486.8900795107156,83.656,0.0056524324324324325,0.501,,,,,
26,0.45420658,473.91560479503426,77.34,0.005225675675675676,0.501,,,,,
27,0.44546781,468.0676467274196,72.582,0.004904189189189188,0.501,,,,,
28,0.43154716,461.48561113614744,62.269,0.0042073648648648645,0.501,,,,,
29,0.4191469,449.5418229408384,59.163,0.0039975,0.499,,,,,
30,0.41698488,454.2708502923599,51.81,0.003500675675675676,0.499,,,,,
31,0.39743599,436.6630047090098,45.692,0.003087297297297297,0.501,,,,,
32,0.39071976,433.2637369959957,40.94,0.002766216216216216,0.501,,,,,
33,0.37400243,419.978462763755,33.936,0.002292972972972973,0.501,,,,,
34,0.36448254,412.4534850130756,29.907,0.0020207432432432434,0.501,,,,,
35,0.34890201,398.8639075952909,24.587,0.0016612837837837837,0.501,,,,,
36,0.33547654,388.250855702631,18.906,0.0012774324324324323,0.501,,,,,
37,0.33526033,394.00144872844595,12.893,0.0008711486486486487,0.501,,,,,
38,0.32950656,399.90947109921217,0.001816,1.227027027027027e-07,0.501,,,,,
39,0.30223017,366.8054026255475,0.001426,9.635135135135135e-08,0.501,,,,,
40,0.27989855,339.7023900579508,0.001285,8.682432432432432e-08,0.501,,,,,
41,0.261612,317.508526062884,0.001364,9.216216216216216e-08,0.501,,,,,
42,0.23638605,286.8925672572642,0.001416,9.567567567567567e-08,0.501,,,,,
43,0.21173896,256.97957381724615,0.001046,7.067567567567568e-08,0.501,,,,,
44,0.18960262,230.11361717041564,0.000854,5.7702702702702704e-08,0.501,,,,,
45,0.16998398,206.30320730345503,0.000765,5.168918918918919e-08,0.501,,,,,
46,0.14352359,174.18940322299605,0.000463,3.1283783783783784e-08,0.501,,,,,
47,0.12071771,146.5106088735345,0.00051,3.4459459459459465e-08,0.501,,,,,
48,0.09938341,120.61789582651609,0.000484,3.2702702702702705e-08,0.501,,,,,
49,0.07779803,94.42057023184316,0.000343,2.3175675675675675e-08,0.501,,,,,
50,0.05446211,66.09848374697145,0.00039,2.635135135135135e-08,0.501,,,,,
51,0.03330216,40.417367567300325,0.00037,2.5e-08,0.501,,,,,
52,0.02226188,27.019251420657756,-0.000739,-4.993243243243243e-08,0.501,,,,,
53,0.02320341,28.16096145101916,0.000255,1.7229729729729732e-08,0.501,,,,,
54,0.02309182,28.025632333913986,0.000151,1.0202702702702703e-08,0.501,,,,,
55,0.05958122,72.3125813837152,-0.000812,-5.486486486486487e-08,0.501,,,,,
56,0.07879535,95.63230075242139,-0.000973,-6.574324324324325e-08,0.501,,,,,
57,0.10401432,126.23970016134442,-0.000937,-6.331081081081082e-08,0.501,,,,,
58,0.12725958,154.45231158252983,-0.00154,-1.0405405405405405e-07,0.501,,,,,
59,0.14902629,180.86917644124682,-0.000864,-5.8378378378378375e-08,0.501,,,,,
60,0.1681637,204.0955852663173,-0.000827,-5.587837837837838e-08,0.501,,,,,
61,0.19343847,234.77163930212865,-0.001723,-1.1641891891891891e-07,0.501,,,,,
62,0.21845519,265.1331985302602,-0.001311,-8.858108108108108e-08,0.501,,,,,
63,0.23984529,291.09360820416697,-0.001259,-8.506756756756756e-08,0.501,,,,,
64,0.26057981,316.2588829688363,-0.001728,-1.1675675675675675e-07,0.501,,,,,
65,0.28475961,345.6049558870148,-0.001572,-1.0621621621621622e-07,0.501,,,,,
66,0.31009018,376.3478775497145,-0.001613,-1.0898648648648649e-07,0.501,,,,,
67,0.33099905,401.7244221817312,-0.001749,-1.1817567567567567e-07,0.501,,,,,
68,0.35198464,427.19380235738345,-0.001608,-1.0864864864864865e-07,0.501,,,,,
69,0.37673634,457.2341745178099,-0.001655,-1.1182432432432433e-07,0.501,,,,,
70,0.40125789,486.9951741840007,-0.001655,-1.1182432432432433e-07,0.501,,,,,
71,0.41939798,509.01126248849295,-0.001712,-1.1567567567567568e-07,0.501,,,,,
72,0.44350804,538.2727672597325,-0.001629,-1.1006756756756756e-07,0.501,,,,,
73,0.38182059,419.7221067177557,43.681,0.0029514189189189187,0.501,,,,,
74,0.39679435,435.62326731982296,45.953,0.0031049324324324327,0.499,,,,,
75,0.40685823,438.5564678626346,55.234,0.003732027027027027,0.501,,,,,
76,0.42043714,453.12974484256597,57.141,0.0038608783783783784,0.501,,,,,
77,0.43218182,461.06687712863743,63.458,0.0042877027027027025,0.501,,,,,
78,0.44275482,464.06097989011204,73.296,0.004952432432432433,0.501,,,,,
79,0.45546195,476.4972061232924,76.282,0.005154189189189189,0.501,,,,,
80,0.46222002,476.43425366980125,84.547,0.005712635135135135,0.501,,,,,
81,0.47678928,486.7574859102855,91.906,0.006209864864864865,0.501,,,,,
82,0.48496313,495.83881913234916,92.745,0.006266554054054054,0.501,,,,,
83,0.49455973,493.8328972899928,106.398,0.007189054054054054,0.501,,,,,
84,0.49656832,504.8116569878713,97.857,0.00661195945945946,0.501,,,,,
85,0.4876552,489.00209605290934,102.849,0.006949256756756757,0.501,,,,,
86,0.47932792,490.30754988024574,91.437,0.006178175675675675,0.501,,,,,
87,0.46719965,477.32886701266716,89.696,0.006060540540540541,0.499,,,,,
88,0.45611753,472.8318620325298,80.743,0.005455608108108107,0.501,,,,,
89,0.44683477,467.6576811727828,74.651,0.005043986486486486,0.501,,,,,
90,0.4355504,461.6802120118541,66.933,0.0045225000000000005,0.501,,,,,
91,0.4249774,452.79810925037947,62.983,0.004255608108108108,0.501,,,,,
92,0.41183089,443.85662194547524,55.969,0.0037816891891891895,0.497,,,,,
93,0.4073813,445.84030073801955,48.585,0.0032827702702702705,0.499,,,,,
94,0.39238661,432.2387380825335,43.988,0.002972162162162162,0.501,,,,,
95,0.37772669,419.52747477836283,38.907,0.002628851351351351,0.501,,,,,
96,0.36485218,410.8071049378605,32.002,0.0021622972972972975,0.501,,,,,
97,0.36283661,413.65487384328515,26.708,0.0018045945945945946,0.501,,,,,
98,0.34365736,395.82364818471996,21.262,0.0014366216216216217,0.499,,,,,
99,0.32848134,382.3770112651897,16.29,0.0011006756756756755,0.501,,,,,
100,0.3605909,437.63666339114565,0.000666,4.5e-08,0.501,,,,,
101,0.3175945,385.4543702058186,-0.000359,-2.4256756756756756e-08,0.501,,,,,
102,0.2923825,354.85483705692087,0.000198,1.3378378378378378e-08,0.501,,,,,
103,0.2678749,325.1108100474521,0.000156,1.0540540540540541e-08,0.501,,,,,
104,0.2457246,298.227551607228,0.000323,2.1824324324324324e-08,0.501,,,,,
105,0.22625243,274.5948395675136,0.000302,2.0405405405405407e-08,0.501,,,,,
106,0.20011285,242.8699810449765,0.000411,2.777027027027027e-08,0.501,,,,,
107,0.17551458,213.01591583515,0.000364,2.4594594594594596e-08,0.501,,,,,
108,0.15636323,189.7724674900289,0.000448,3.027027027027027e-08,0.501,,,,,
109,0.13385027,162.44927452171663,0.000401,2.7094594594594595e-08,0.501,,,,,
110,0.10864524,131.85870563284425,0.000453,3.0608108108108105e-08,0.501,,,,,
111,0.08779216,106.55000749104445,0.000453,3.0608108108108105e-08,0.501,,,,,
112,0.06619981,80.34407663634622,0.000458,3.0945945945945945e-08,0.501,,,,,
113,0.0442448,53.69794025355981,0.00052,3.513513513513513e-08,0.501,,,,,
114,0.02532359,30.73390426600289,0.000505,3.4121621621621626e-08,0.501,,,,,
115,0.02352423,28.550018145612576,0.000567,3.831081081081081e-08,0.501,,,,,
116,0.0235033,28.524585092193714,0.000598,4.0405405405405404e-08,0.501,,,,,
117,0.02263849,27.474894605468016,0.000697,4.70945945945946e-08,0.501,,,,,
118,0.07350885,89.21463137168413,0.000645,4.358108108108108e-08,0.501,,,,,
119,0.09248585,112.2461218494579,0.000916,6.189189189189189e-08,0.501,,,,,
120,0.11382713,138.14740029317312,0.000848,5.72972972972973e-08,0.501,,,,,
121,0.13884385,168.50903252130465,0.001187,8.02027027027027e-08,0.501,,,,,
122,0.16281443,197.60153599866644,0.000989,6.682432432432432e-08,0.501,,,,,
