,T,V,V_c,I,P,V_gen,Distancia,Mediciones p/s,Fecha,Periodo
0,0.02526082,30.65741537908927,0.000812,5.486486486486487e-08,0.501,1.5,5.3,0.3,Fri Oct 25 11:07:40 2024,20.0
1,0.02478657,30.08362373389592,-0.000978,-6.608108108108107e-08,0.501,,,,,
2,0.0247517,30.04119416042646,-0.000869,-5.8716216216216215e-08,0.501,,,,,
3,0.07555231,91.69589264303217,-0.000536,-3.621621621621622e-08,0.501,,,,,
4,0.08945901,108.57416457758222,-0.000703,-4.7499999999999995e-08,0.501,,,,,
5,0.11309483,137.26030184029995,-0.000822,-5.554054054054054e-08,0.501,,,,,
6,0.1368771,166.12372865692086,-0.000489,-3.304054054054054e-08,0.501,,,,,
7,0.15647482,189.90903060713407,-0.000682,-4.608108108108108e-08,0.501,,,,,
8,0.18050816,219.077567834738,-0.000744,-5.0270270270270266e-08,0.501,,,,,
9,0.2039487,247.52633717668957,-0.0005,-3.3783783783783786e-08,0.501,,,,,
10,0.22791928,276.61886565405126,-0.000723,-4.885135135135135e-08,0.501,,,,,
11,0.24652664,299.2019662070401,-0.000682,-4.608108108108108e-08,0.501,,,,,
12,0.26999508,327.6848358624358,-0.000677,-4.574324324324324e-08,0.501,,,,,
13,0.295228,358.3092539280809,-0.000729,-4.925675675675676e-08,0.501,,,,,
14,0.31908699,387.2663602883375,-0.000963,-6.506756756756757e-08,0.501,,,,,
15,0.33704575,409.06204632878564,-0.000692,-4.675675675675676e-08,0.501,,,,,
16,0.36134412,438.55241976076616,-0.000932,-6.297297297297298e-08,0.501,,,,,
17,0.38684904,469.5070852908131,-0.001114,-7.527027027027027e-08,0.501,,,,,
18,0.40837165,495.62836999857245,-0.001114,-7.527027027027027e-08,0.501,,,,,
19,0.42840874,519.9468318838382,-0.001218,-8.229729729729729e-08,0.501,,,,,
20,0.45427632,551.3415829419732,-0.001337,-9.033783783783784e-08,0.501,,,,,
21,0.47780055,579.8921480875857,-0.001317,-8.89864864864865e-08,0.501,,,,,
22,0.49720995,603.4486412403867,-0.001259,-8.506756756756756e-08,0.501,,,,,
23,0.51973686,630.788796865421,-0.001244,-8.405405405405406e-08,0.501,,,,,
