,T,V,V_c,I,P,V_gen,Distancia,Mediciones p/s,Fecha,Periodo,pendiente_rampa
0,0.08747832,106.1685071931478,0.001056,7.135135135135136e-08,0.122,2.7,5.5,0.3,Fri Oct 25 13:45:37 2024,30.0,50.0
1,0.10612056,128.79460045627755,0.000437,2.9527027027027027e-08,0.121,,,,,,
2,0.12411418,150.63287593352368,0.000427,2.8851351351351352e-08,0.121,,,,,,
3,0.14513465,176.14489681931695,0.00026,1.7567567567567565e-08,0.121,,,,,,
4,0.16743837,203.2142250734695,0.000224,1.5135135135135136e-08,0.121,,,,,,
5,0.19002107,230.62223618872062,9.4e-05,6.351351351351351e-09,0.12,,,,,,
6,0.20736609,251.6744471534261,-0.001036,-7e-08,0.119,,,,,,
7,0.2282401,277.00865634864476,-0.001145,-7.736486486486486e-08,0.118,,,,,,
8,0.2509832,304.6110166745211,-0.000952,-6.432432432432432e-08,0.118,,,,,,
9,0.27265925,330.9185784695519,-0.001004,-6.783783783783783e-08,0.118,,,,,,
10,0.29031811,352.350936732154,-0.001384,-9.351351351351352e-08,0.117,,,,,,
11,0.3122801,379.00580551163716,-0.001707,-1.1533783783783784e-07,0.116,,,,,,
12,0.33440947,405.86361489844234,-0.001827,-1.2344594594594595e-07,0.115,,,,,,
13,0.35577167,431.7902512589049,-0.001863,-1.2587837837837838e-07,0.115,,,,,,
14,0.37433719,454.32269597839894,-0.001946,-1.314864864864865e-07,0.115,,,,,,
15,0.39646656,481.1804173652042,-0.001978,-1.3364864864864865e-07,0.115,,,,,,
16,0.38300621,459.13315476240336,5.7089,0.0003857364864864865,0.115,,,,,,
17,0.42451012,509.25788686521145,5.9561,0.0004024391891891892,0.115,,,,,,
18,0.44507028,531.4131776258619,8.754,0.0005914864864864864,0.115,,,,,,
19,0.45914437,547.7705383044056,9.4779,0.0006403986486486486,0.114,,,,,,
20,0.47641267,566.6944067254752,11.512,0.0007778378378378378,0.114,,,,,,
21,0.49354149,585.0650928526671,13.93,0.0009412162162162162,0.114,,,,,,
22,0.51029369,603.3596876583773,15.967,0.0010788513513513515,0.114,,,,,,
23,0.53052606,626.2110504644091,17.671,0.0011939864864864865,0.114,,,,,,
24,0.55116991,650.5668130287207,18.37,0.0012412162162162162,0.114,,,,,,
25,0.56735023,666.5303358655258,22.044,0.0014894594594594595,0.114,,,,,,
26,0.58120114,682.6527303098591,22.732,0.0015359459459459459,0.115,,,,,,
27,0.59738145,701.0502410099926,23.972,0.0016197297297297299,0.115,,,,,,
28,0.62279571,726.6996934763534,29.167,0.0019707432432432433,0.114,,,,,,
29,0.62894004,732.9368649471197,30.387,0.0020531756756756755,0.114,,,,,,
30,0.6490678,755.270266032743,32.482,0.0021947297297297296,0.114,,,,,,
31,0.66930714,777.1400880988001,35.176,0.002376756756756757,0.114,,,,,,
32,0.67831791,788.2171636308167,35.035,0.0023672297297297295,0.114,,,,,,
33,0.65791815,726.4326450807914,72.061,0.004868986486486487,0.115,,,,,,
34,0.67001155,739.7860073749007,73.385,0.004958445945945946,0.115,,,,,,
35,0.68548746,756.0826109356054,75.871,0.005126418918918918,0.115,,,,,,
36,0.69289414,767.8288551313265,73.114,0.004940135135135136,0.115,,,,,,
37,0.7050503,780.7483871756776,74.948,0.005064054054054054,0.115,,,,,,
38,0.71469572,778.8947165635128,88.508,0.00598027027027027,0.115,,,,,,
39,0.7227789,790.0030065852186,87.21,0.005892567567567567,0.116,,,,,,
40,0.73856169,795.0040603204662,101.364,0.006848918918918919,0.117,,,,,,
41,0.73990075,797.9472334523853,100.046,0.0067598648648648655,0.117,,,,,,
42,0.28696348,348.27822150565953,-7.3e-05,-4.932432432432432e-09,0.116,,,,,,
