,T,V,V_c,I,P,V_gen,Mediciones p/s,Fecha,Periodo
0,0.13617968,165.27888891418866,-0.002085,-1.4087837837837837e-07,0.195,1.5,0.3,Fri Oct 25 08:52:31 2024,20.0
1,0.27234541,330.5380671716552,-0.00139,-9.391891891891892e-08,0.195,,,,
2,0.2861196,347.2553490723527,-0.00139,-9.391891891891892e-08,0.195,,,,
3,0.30995069,376.1783601191652,-0.00139,-9.391891891891892e-08,0.195,,,,
4,0.3284116,398.58376011825084,-0.00139,-9.391891891891892e-08,0.195,,,,
5,0.3542722,429.9699207796892,-0.00139,-9.391891891891892e-08,0.195,,,,
6,0.37740587,458.0464960837694,-0.00139,-9.391891891891892e-08,0.195,,,,
7,0.39968868,485.0904105578461,-0.00139,-9.391891891891892e-08,0.195,,,,
8,0.4196909,509.3664478696422,-0.00139,-9.391891891891892e-08,0.195,,,,
9,0.44508423,540.185498282584,-0.00139,-9.391891891891892e-08,0.195,,,,
10,0.4696267,569.9718878655221,-0.00139,-9.391891891891892e-08,0.195,,,,
11,0.4895243,594.1202563202386,-0.000695,-4.695945945945946e-08,0.195,,,,
12,0.51093533,620.1061200475641,-0.000695,-4.695945945945946e-08,0.195,,,,
13,0.5352058,649.5630871661004,-0.00139,-9.391891891891892e-08,0.195,,,,
14,0.55962971,679.2055843719081,-0.00139,-9.391891891891892e-08,0.195,,,,
15,0.57885081,702.5329070006397,-0.000695,-4.695945945945946e-08,0.195,,,,
16,0.60245873,731.1857589499133,-0.00139,-9.391891891891892e-08,0.195,,,,
17,0.62726622,761.2930996005565,-0.000695,-4.695945945945946e-08,0.195,,,,
18,0.56168014,632.5276199032814,49.165114,0.0033219671621621625,0.195,,,,
19,0.56847309,640.0014281599314,49.935686,0.0033740328378378376,0.195,,,,
20,0.59469636,668.1972384861293,53.566197,0.0036193376351351353,0.195,,,,
21,0.58615985,657.8867847359776,53.516169,0.003615957364864865,0.195,,,,
22,0.58135457,654.449869260459,51.121074,0.0034541266216216214,0.198,,,,
23,0.57767216,655.1050552160174,45.996668,0.0031078829729729728,0.197,,,,
24,0.55169298,625.9269929041055,43.644653,0.0029489630405405403,0.196,,,,
25,0.54219402,622.041599206845,36.001471,0.0024325318243243244,0.195,,,,
26,0.5215153,601.043346069064,31.902641,0.0021555838513513514,0.195,,,,
27,0.50529314,582.1235303987639,31.134154,0.002103659054054054,0.195,,,,
28,0.49252324,569.58372927867,28.175547,0.0019037531756756758,0.195,,,,
29,0.47715892,555.6294718350704,23.482634,0.0015866644594594596,0.195,,,,
30,0.46018353,539.0243826584785,19.48525,0.001316570945945946,0.195,,,,
31,0.44546084,523.4252674673944,17.21592,0.0011632378378378379,0.195,,,,
32,0.42716732,505.14745021230215,13.291493,0.0008980738513513513,0.195,,,,
33,0.40726274,483.4329543608891,10.848454,0.0007330036486486487,0.195,,,,
34,0.3953716,473.98233838424284,5.867184,0.0003964313513513514,0.195,,,,
35,0.38503573,462.7283405137008,4.576876,0.0003092483783783784,0.195,,,,
36,0.36268318,437.5564388926852,2.620222,0.00017704202702702702,0.195,,,,
37,0.34223461,415.3582082491398,0.000695,4.695945945945946e-08,0.195,,,,
38,0.31676456,384.4453502925623,0.00139,9.391891891891892e-08,0.195,,,,
39,0.29347746,356.1825620378822,0.00139,9.391891891891892e-08,0.195,,,,
40,0.27068553,328.52074534514276,0.00139,9.391891891891892e-08,0.195,,,,
41,0.25127612,304.9641820556704,0.00139,9.391891891891892e-08,0.195,,,,
42,0.22572238,273.9504472954319,0.00139,9.391891891891892e-08,0.195,,,,
43,0.20198195,245.13746731230572,0.00139,9.391891891891892e-08,0.195,,,,
44,0.18118467,219.8964917973943,0.00139,9.391891891891892e-08,0.195,,,,
45,0.15963416,193.74065077619082,0.002085,1.4087837837837837e-07,0.195,,,,
46,0.13442216,163.1430646272931,0.000695,4.695945945945946e-08,0.195,,,,
47,0.11218817,136.15770638340803,0.00139,9.391891891891892e-08,0.195,,,,
48,0.09086084,110.2734265964149,0.00139,9.391891891891892e-08,0.195,,,,
49,0.06830604,82.90010179460788,0.000695,4.695945945945946e-08,0.195,,,,
50,0.04680435,56.804207003595955,0.000695,4.695945945945946e-08,0.195,,,,
51,0.02779248,33.72942995235273,0.00139,9.391891891891892e-08,0.195,,,,
52,0.02477262,30.064325077173834,0.00139,9.391891891891892e-08,0.195,,,,
53,0.02407519,29.21787719777015,0.00139,9.391891891891892e-08,0.195,,,,
54,0.02297326,27.880500956783518,0.00139,9.391891891891892e-08,0.195,,,,
55,0.07532216,91.41464114879652,0.00139,9.391891891891892e-08,0.195,,,,
56,0.09200462,111.66089980756777,0.002085,1.4087837837837837e-07,0.195,,,,
57,0.1174956,142.59915981756416,0.00139,9.391891891891892e-08,0.195,,,,
58,0.13978538,169.65222855166607,0.000695,4.695945945945946e-08,0.194,,,,
