,T,V,V_c,I,P,V_gen,Distancia,Mediciones p/s,Fecha,Periodo
0,0.69380777,837.8107978482436,4.2409,0.0002865472972972973,0.0583,1.95,11.8,0.3,Fri Oct 25 09:49:07 2024,20.0
1,0.70545481,851.337327673932,4.85,0.0003277027027027027,0.0589,,,,,
2,0.73289858,884.1489297549186,5.346,0.00036121621621621624,0.0591,,,,,
3,0.76479891,921.7754123033864,6.4359,0.0004348581081081081,0.0591,,,,,
4,0.78965522,951.0060991842213,7.3725,0.0004981418918918918,0.0595,,,,,
5,0.81834738,984.6986311967689,8.5027,0.0005745067567567568,0.0601,,,,,
6,0.84833676,1019.8342565077413,9.7642,0.0006597432432432433,0.0603,,,,,
7,0.87582935,1051.6413098189194,11.324,0.0007651351351351351,0.0603,,,,,
8,0.88962446,1068.258981636364,11.449,0.000773581081081081,0.0607,,,,,
9,0.87298385,1048.8908199477594,10.621,0.0007176351351351352,0.0612,,,,,
10,0.84286196,1012.8338716029347,10.12,0.0006837837837837837,0.0612,,,,,
11,0.81624115,982.2759690385074,8.3691,0.0005654797297297297,0.0614,,,,,
12,0.79138484,951.9563821576726,8.5214,0.0005757702702702702,0.0614,,,,,
13,0.75095497,903.9293771190785,7.48,0.0005054054054054054,0.0614,,,,,
14,0.73288463,882.1121990981967,7.3658,0.0004976891891891892,0.0614,,,,,
15,0.70915815,855.9018497717926,4.7801,0.00032297972972972975,0.0616,,,,,
16,0.6778855,817.6264618191182,5.1009,0.0003446554054054054,0.0616,,,,,
17,0.63924105,771.8055623808636,4.0203,0.00027164189189189187,0.0614,,,,,
18,0.61886222,747.7217458842574,3.371,0.00022777027027027027,0.0614,,,,,
19,0.5925692,716.0240712744489,3.1577,0.00021335810810810813,0.0614,,,,,
20,0.56267747,680.3529605605313,2.5502,0.0001723108108108108,0.0614,,,,,
21,0.53061673,642.6408936647668,1.3512,9.12972972972973e-05,0.0616,,,,,
22,0.50304742,609.1412278099531,1.3909,9.397972972972973e-05,0.0614,,,,,
23,0.48164337,583.7808754793242,0.77386,5.2287837837837834e-05,0.0614,,,,,
24,0.44698123,542.3795858633574,0.106849,7.219527027027027e-06,0.0614,,,,,
25,0.41655247,505.48478148066135,0.071267,4.815337837837838e-06,0.0614,,,,,
26,0.38944347,472.6565047509902,-0.001759,-1.1885135135135134e-07,0.0614,,,,,
27,0.36172073,439.0104409455764,-0.001874,-1.2662162162162163e-07,0.0612,,,,,
28,0.32938102,399.7608073253849,-0.001884,-1.272972972972973e-07,0.061,,,,,
29,0.299022,362.9150570896278,-0.001879,-1.2695945945945946e-07,0.0605,,,,,
30,0.2741099,332.6801217185761,-0.001941,-1.3114864864864864e-07,0.0607,,,,,
31,0.24225839,294.0229594003,-0.00191,-1.2905405405405407e-07,0.061,,,,,
32,0.21068585,255.70384780645102,-0.001353,-9.141891891891893e-08,0.0612,,,,,
33,0.18227266,221.21977051833034,-0.001431,-9.668918918918919e-08,0.0614,,,,,
34,0.15614005,189.50344925581857,-0.0014,-9.45945945945946e-08,0.0614,,,,,
35,0.12405839,150.56638344330685,-0.000791,-5.344594594594595e-08,0.0614,,,,,
36,0.09518489,115.52336203004337,-0.000588,-3.9729729729729725e-08,0.0614,,,,,
37,0.06765046,82.10573388537043,-0.000593,-4.0067567567567565e-08,0.0614,,,,,
38,0.04119704,49.999973064936746,-0.000479,-3.2364864864864865e-08,0.0614,,,,,
39,0.02639763,32.03824833021684,-0.000312,-2.1081081081081082e-08,0.0614,,,,,
40,0.02517713,30.556816575428265,-0.000161,-1.0878378378378379e-08,0.0614,,,,,
41,0.02663475,32.32481508447777,0.000906,6.121621621621621e-08,0.0614,,,,,
42,0.08390052,101.82651886911458,0.000786,5.310810810810811e-08,0.0614,,,,,
43,0.11546608,140.1365710662667,0.000817,5.52027027027027e-08,0.062,,,,,
44,0.14395599,174.71316789802313,0.001488,1.0054054054054053e-07,0.0622,,,,,
45,0.17046521,206.88632334534515,0.001702,1.15e-07,0.0624,,,,,
46,0.20028721,243.0802580489953,0.001749,1.1817567567567567e-07,0.0624,,,,,
47,0.23180395,281.33107001595596,0.001769,1.1952702702702702e-07,0.0624,,,,,
48,0.2630766,319.28582396863027,0.001603,1.0831081081081081e-07,0.0624,,,,,
49,0.28637765,347.5653658800325,0.00178,1.2027027027027027e-07,0.0624,,,,,
50,0.31790834,385.83309250371525,0.001816,1.227027027027027e-07,0.0624,,,,,
51,0.34980867,424.54951605218287,0.001775,1.1993243243243245e-07,0.0624,,,,,
52,0.37933077,460.3794459779869,0.001848,1.2486486486486488e-07,0.0624,,,,,
53,0.404752,491.23232670437295,0.001879,1.2695945945945946e-07,0.0624,,,,,
54,0.43502733,527.4620691364692,0.51631,3.4885810810810814e-05,0.0624,,,,,
55,0.465749,564.213570763643,1.05069,7.099256756756756e-05,0.0626,,,,,
56,0.49166541,595.7744461886412,0.94371,6.37641891891892e-05,0.0628,,,,,
57,0.51789565,627.0504367748645,1.5025,0.00010152027027027027,0.063,,,,,
58,0.55124663,666.8714255723564,2.1585,0.0001458445945945946,0.0634,,,,,
59,0.57809759,699.2728536310192,2.3452,0.00015845945945945947,0.0637,,,,,
60,0.60473234,729.9109747154969,4.0328,0.00027248648648648646,0.0637,,,,,
61,0.63237139,763.6323817172497,3.856,0.0002605405405405405,0.0637,,,,,
62,0.65287575,787.5311498510118,4.8427,0.00032720945945945943,0.0637,,,,,
63,0.68952556,830.8645202481099,5.99,0.00040472972972972976,0.0637,,,,,
64,0.71685077,862.971129951966,7.0471,0.00047615540540540545,0.0639,,,,,
65,0.74607995,898.0357254966209,7.457,0.0005038513513513514,0.0645,,,,,
66,0.76906716,924.5186471101265,8.8729,0.0005995202702702702,0.0647,,,,,
67,0.80426632,966.4376112582003,9.674,0.0006536486486486486,0.0647,,,,,
68,0.82862746,995.3661265770942,10.3118,0.0006967432432432432,0.0647,,,,,
69,0.85812864,1029.710539586151,11.772,0.0007954054054054054,0.0653,,,,,
70,0.87934438,1054.6513862560391,12.58,0.00085,0.0657,,,,,
71,0.88212712,1055.1577063769569,15.451,0.0010439864864864865,0.0657,,,,,
72,0.84819728,1018.3501742138634,11.079,0.0007485810810810811,0.0657,,,,,
73,0.82821598,994.1205268188145,11.058,0.0007471621621621622,0.0657,,,,,
74,0.79609945,957.2251494328334,8.9746,0.0006063918918918919,0.0657,,,,,
75,0.77445827,932.4822602112722,7.4523,0.0005035337837837838,0.0657,,,,,
76,0.74393188,895.0129835048645,7.8727,0.0005319391891891892,0.0657,,,,,
77,0.71549776,861.5605261633249,6.8156,0.0004605135135135135,0.0657,,,,,
78,0.6920921,835.1507455315143,4.8187,0.0003255878378378378,0.0657,,,,,
79,0.66276527,799.2948353898048,5.0816,0.0003433513513513513,0.0659,,,,,
80,0.63320133,764.265152630506,4.2305,0.0002858445945945946,0.0659,,,,,
81,0.60283534,721.1158481347236,10.5256,0.0007111891891891893,0.0659,,,,,
82,0.57657022,696.8595348383593,2.9048,0.00019627027027027026,0.0655,,,,,
83,0.55282282,668.8104955952078,2.1324,0.0001440810810810811,0.0651,,,,,
84,0.51932538,628.5744531071413,1.7137,0.00011579054054054054,0.0649,,,,,
85,0.48844329,591.6232749959992,1.1843,8.002027027027026e-05,0.0649,,,,,
86,0.46158536,559.3698376773111,0.84115,5.683445945945946e-05,0.0647,,,,,
87,0.43548065,528.1971487282436,0.33141,2.2392567567567565e-05,0.0647,,,,,
88,0.40284105,488.9135904668775,0.001358,9.175675675675677e-08,0.0647,,,,,
89,0.37248203,452.06986423112033,-0.000661,-4.4662162162162167e-08,0.0647,,,,,
90,0.34836499,422.7997060631839,-0.000562,-3.797297297297297e-08,0.0647,,,,,
91,0.31707143,384.81940733043365,-0.000229,-1.5472972972972972e-08,0.0647,,,,,
92,0.2848991,345.77286031756415,-0.000182,-1.2297297297297298e-08,0.0647,,,,,
93,0.25608837,310.8055417912143,0.0005,3.3783783783783786e-08,0.0647,,,,,
94,0.23015802,279.3344938461655,0.000734,4.9594594594594595e-08,0.0647,,,,,
95,0.19809031,240.41498869037585,0.000713,4.8175675675675674e-08,0.0647,,,,,
96,0.16584824,201.28335353056744,0.001207,8.155405405405406e-08,0.0647,,,,,
97,0.13938784,169.16902631343694,0.001416,9.567567567567567e-08,0.0647,,,,,
98,0.11112808,134.87106397591614,0.001436,9.702702702702703e-08,0.0647,,,,,
99,0.07954857,96.54388812204192,0.001598,1.0797297297297297e-07,0.0647,,,,,
100,0.05265577,63.90488722988435,0.001691,1.1425675675675676e-07,0.0649,,,,,
101,0.03077747,37.351876254062155,0.001728,1.1675675675675675e-07,0.0647,,,,,
102,0.02491908,30.241938767748465,0.00153,1.0337837837837837e-07,0.0647,,,,,
103,0.02487724,30.191174934253702,0.001514,1.0229729729729729e-07,0.0647,,,,,
104,0.07696112,93.40340305856161,0.00178,1.2027027027027027e-07,0.0647,,,,,
105,0.09625893,116.82450009425733,0.001801,1.216891891891892e-07,0.0647,,,,,
106,0.12645056,153.46712658602095,0.001764,1.1918918918918918e-07,0.0647,,,,,
107,0.15978062,193.91860046676544,0.001889,1.2763513513513514e-07,0.0647,,,,,
108,0.18914232,229.55399918194436,0.001821,1.2304054054054053e-07,0.0647,,,,,
109,0.21235967,257.7323211530141,0.001634,1.104054054054054e-07,0.0647,,,,,
110,0.24559906,298.0741528334008,0.001358,9.175675675675677e-08,0.0647,,,,,
111,0.27709489,336.29962802028547,0.001337,9.033783783783784e-08,0.0647,,,,,
