,T,V,V_c,I,P,V_gen,Distancia,Mediciones p/s,Fecha,Periodo
0,0.033299,40.41286637911095,0.001036,7e-08,0.0688,3.37,11.8,0.3,Fri Oct 25 10:11:40 2024,20.0
1,0.108933,132.20671249150706,0.001691,1.1425675675675676e-07,0.0686,,,,,
2,0.15697,190.5108883057463,-0.001556,-1.0513513513513514e-07,0.0688,,,,,
3,0.20797,252.40468088109867,0.001676,1.1324324324324324e-07,0.0688,,,,,
4,0.2527,306.6919764351283,0.001712,1.1567567567567568e-07,0.0688,,,,,
5,0.30615,371.5625265243947,0.001671,1.129054054054054e-07,0.0688,,,,,
6,0.36113,438.28992035092165,0.001697,1.1466216216216216e-07,0.0688,,,,,
7,0.41338,501.7040658619444,0.00166,1.1216216216216217e-07,0.0688,,,,,
8,0.4546,551.6236037246115,0.109482,7.397432432432432e-06,0.0688,,,,,
9,0.50926,617.1914420636068,0.88069,5.950608108108108e-05,0.0688,,,,,
10,0.55927,677.8569361619083,0.91069,6.153310810810811e-05,0.0688,,,,,
11,0.61293,741.7496053523671,2.1434,0.00014482432432432434,0.0688,,,,,
12,0.65614,793.8865628406215,2.449,0.00016547297297297297,0.0688,,,,,
13,0.70981,857.654578702566,3.8185,0.00025800675675675673,0.0691,,,,,
14,0.76013,918.8890096169135,3.6558,0.00024701351351351353,0.0697,,,,,
15,0.80511,972.1369579580773,4.9986,0.0003377432432432432,0.0699,,,,,
16,0.85229,1027.401374026021,6.995,0.00047263513513513513,0.0699,,,,,
17,0.90517,1090.7096928406218,7.8654,0.000531445945945946,0.0701,,,,,
18,0.95711,1152.1971645355982,9.4158,0.0006362027027027028,0.0707,,,,,
19,0.99624,1197.9398600578245,11.1639,0.0007543175675675676,0.0709,,,,,
20,1.04473,1254.5304800903505,13.424,0.000907027027027027,0.0713,,,,,
21,1.04285,1249.0857858511024,16.587,0.0011207432432432433,0.072,,,,,
22,1.14396,1369.0006712396098,19.386,0.0013098648648648648,0.0724,,,,,
23,1.18261,1412.7299065305385,22.565,0.0015246621621621621,0.073,,,,,
24,1.19736,1430.0534969714492,23.143,0.0015637162162162163,0.073,,,,,
25,1.2793,1525.6603831225154,26.984,0.0018232432432432433,0.074,,,,,
26,1.3284,1581.4424401156487,30.793,0.0020806081081081083,0.0745,,,,,
27,1.3493,1603.900083520058,33.701,0.002277094594594595,0.0758,,,,,
28,1.412,1676.7240137332853,36.974,0.002498243243243243,0.0771,,,,,
29,1.4595,1730.8402032887607,40.507,0.0027369594594594594,0.0784,,,,,
30,1.4908,1763.689985037947,45.645,0.003084121621621622,0.0796,,,,,
31,1.4835,1757.644214853632,42.831,0.002893986486486487,0.0806,,,,,
32,1.4302,1675.3417558366461,60.445,0.004084121621621622,0.0816,,,,,
33,1.3838,1643.9526001445608,35.52,0.0024000000000000002,0.0826,,,,,
34,1.2845,1525.7854522949042,33.17,0.0022412162162162162,0.0819,,,,,
35,1.2997,1548.1521929526566,29.251,0.001976418918918919,0.0816,,,,,
36,1.2485,1488.7594349475967,26.504,0.001790810810810811,0.0813,,,,,
37,1.2031,1435.0449464040478,25.118,0.001697162162162162,0.08,,,,,
38,1.1655,1393.663061619082,20.866,0.0014098648648648649,0.0796,,,,,
39,1.1143,1332.9983036140225,19.391,0.0013102027027027026,0.0787,,,,,
40,1.0605,1253.1320110227682,33.962,0.00229472972972973,0.0777,,,,,
41,1.0146,1218.4726889049512,12.914,0.0008725675675675676,0.0767,,,,,
42,0.975,1171.4594698229128,11.866,0.0008017567567567567,0.0761,,,,,
43,0.924,1111.1154452475607,10.313,0.0006968243243243244,0.0751,,,,,
44,0.87086,1049.2716729743406,7.6625,0.0005177364864864865,0.074,,,,,
45,0.83069,1000.3575636176364,7.8236,0.0005286216216216216,0.0736,,,,,
46,0.7811,937.4015097217202,10.5939,0.000715804054054054,0.0732,,,,,
47,0.72477,875.3844392446694,4.2451,0.00028683108108108106,0.0726,,,,,
48,0.67764,818.8477065341525,3.5817,0.00024200675675675677,0.0722,,,,,
49,0.63344,766.0276185688471,2.7577,0.00018633108108108106,0.0713,,,,,
50,0.58176,704.7196003324902,1.3434,9.077027027027026e-05,0.0713,,,,,
51,0.52684,638.7068805348753,0.70152,4.74e-05,0.0711,,,,,
52,0.47798,579.6361736573907,0.47245,3.19222972972973e-05,0.0703,,,,,
53,0.43441,527.2264289956631,0.002717,1.8358108108108107e-07,0.0701,,,,,
54,0.37839,459.24052233465846,-0.00101,-6.824324324324325e-08,0.0699,,,,,
55,0.32566,395.2439525923383,-0.001109,-7.493243243243243e-08,0.0699,,,,,
56,0.27786,337.2304438923021,-0.00089,-6.013513513513514e-08,0.0693,,,,,
57,0.22759,276.21953633538124,-0.00103,-6.95945945945946e-08,0.0691,,,,,
58,0.17408,211.27683221720278,-0.001655,-1.1182432432432433e-07,0.0691,,,,,
59,0.12491,151.60044852367184,-0.001285,-8.682432432432432e-08,0.0688,,,,,
60,0.085878,104.22787438200216,-0.000567,-3.831081081081081e-08,0.0688,,,,,
61,0.057699,70.02909780339718,-0.001717,-1.1601351351351352e-07,0.0688,,,,,
62,0.039256,47.645367582941816,-0.00165,-1.1148648648648649e-07,0.0688,,,,,
63,0.050182,60.90588384784965,-0.001639,-1.1074324324324324e-07,0.0688,,,,,
64,0.13323,161.69618219949402,0.000692,4.675675675675676e-08,0.0688,,,,,
65,0.1802,218.70440216624502,-0.001582,-1.068918918918919e-07,0.0688,,,,,
66,0.2346,284.72788504662094,-0.001572,-1.0621621621621622e-07,0.0688,,,,,
67,0.28633,347.5109796404048,-0.001665,-1.1250000000000001e-07,0.0691,,,,,
68,0.32995,400.45106265955917,-0.001587,-1.0722972972972973e-07,0.0688,,,,,
69,0.38535,467.6882906884713,-0.001655,-1.1182432432432433e-07,0.0688,,,,,
70,0.44001,534.0274460274666,-0.001764,-1.1918918918918918e-07,0.0691,,,,,
71,0.48787,591.4435517564149,0.66824,4.515135135135135e-05,0.0688,,,,,
