,T,V,V_c,I,P,V_gen,Distancia,Mediciones p/s,Fecha,Periodo,pendiente_rampa
0,0.12059915,146.36582649640405,0.0014,9.45945945945946e-08,0.24,1.7,2.5,0.3,Fri Oct 25 13:19:30 2024,30.0,50.0
1,0.13421991,162.89725944650164,0.001036,7e-08,0.24,,,,,,
2,0.15030258,182.41630468625226,0.000999,6.75e-08,0.24,,,,,,
3,0.1667549,202.38390298745935,0.001041,7.033783783783784e-08,0.24,,,,,,
4,0.18201461,220.9041117106505,0.001041,7.033783783783784e-08,0.24,,,,,,
5,0.19563536,237.43518452407665,0.001025,6.925675675675677e-08,0.24,,,,,,
6,0.21090205,255.9638696439646,0.00102,6.891891891891893e-08,0.24,,,,,,
7,0.22737529,275.9569098619191,0.00101,6.824324324324325e-08,0.24,,,,,,
8,0.24399498,296.12784863377664,0.000843,5.695945945945946e-08,0.24,,,,,,
9,0.25660447,311.43159840657387,0.000817,5.52027027027027e-08,0.24,,,,,,
10,0.27280571,331.09453216012645,0.000796,5.378378378378379e-08,0.24,,,,,,
11,0.29052036,352.59423591294535,0.000781,5.277027027027027e-08,0.24,,,,,,
12,0.305529,370.8098542251536,0.000656,4.432432432432433e-08,0.24,,,,,,
13,0.31849418,386.54536126601374,0.000562,3.797297297297297e-08,0.238,,,,,,
14,0.33495347,406.5215338272461,0.000489,3.304054054054054e-08,0.237,,,,,,
15,0.33331451,396.8166709174811,7.7162,0.0005213648648648648,0.239,,,,,,
16,0.34796049,412.6473157016011,9.6609,0.0006527635135135135,0.238,,,,,,
17,0.35821267,423.29914976848215,11.4518,0.0007737702702702703,0.236,,,,,,
18,0.36937848,433.0645265522805,15.238,0.0010295945945945945,0.236,,,,,,
19,0.38042573,446.29521095894836,15.415,0.001041554054054054,0.236,,,,,,
20,0.39187052,455.7763766038453,19.824,0.0013394594594594595,0.236,,,,,,
21,0.40317582,468.017247818193,21.304,0.0014394594594594593,0.236,,,,,,
22,0.41140546,473.98729153047344,25.322,0.0017109459459459459,0.236,,,,,,
23,0.42073704,482.44672362041206,28.188,0.0019045945945945946,0.236,,,,,,
24,0.43207023,494.9094440115324,29.48,0.001991891891891892,0.236,,,,,,
25,0.43926768,499.75175262976506,33.373,0.002254932432432432,0.236,,,,,,
26,0.45045442,509.9777314669823,36.724,0.002481351351351351,0.236,,,,,,
27,0.4600301,522.3244197078786,35.999,0.002432364864864865,0.236,,,,,,
28,0.46898507,528.4497726130068,40.742,0.0027528378378378375,0.236,,,,,,
29,0.48077856,541.2991439925984,42.206,0.002851756756756757,0.236,,,,,,
30,0.49298354,549.0919272671413,49.226,0.003326081081081081,0.237,,,,,,
31,0.4962754,549.507149606722,52.806,0.003567972972972973,0.236,,,,,,
32,0.50954047,566.2685292887568,52.144,0.003523243243243243,0.236,,,,,,
33,0.51561506,567.4030596125841,58.382,0.00394472972972973,0.236,,,,,,
34,0.52844773,581.7636496195917,59.596,0.0040267567567567565,0.236,,,,,,
35,0.53860925,588.3583526227864,65.334,0.00441445945945946,0.236,,,,,,
