,T,V_c,P,Mediciones p/s,Fecha,Periodo
0,-0.17882432,5.475e-06,0.072,0.3,Fri Sep 27 13:00:59 2024,50.0
1,-0.25470199,8.056e-06,0.0722,,,
2,-0.34406695,9.409e-06,0.072,,,
3,-0.43797187,1.2116e-05,0.072,,,
4,-0.5192577,6.9808717,0.072,,,
5,-0.59079122,10.192179,0.072,,,
6,-0.65443054,14.530484,0.0732,,,
7,-0.72562028,19.54523,0.073,,,
8,-0.78712249,24.242448,0.074,,,
9,-0.83455085,27.669402,0.0743,,,
10,-0.86885136,29.930419,0.0738,,,
11,-0.88582673,31.129373,0.0743,,,
12,-0.88728285,31.031808,0.0743,,,
13,-0.87253182,28.986566,0.0743,,,
14,-0.84198266,25.80867,0.073,,,
15,-0.79728244,21.704315,0.0732,,,
16,-0.73842414,16.875829,0.073,,,
17,-0.66763999,12.022287,0.0732,,,
18,-0.58808099,7.5661338,0.0728,,,
19,-0.51937623,4.5670186,0.072,,,
20,-0.44987388,-1.87e-07,0.072,,,
21,-0.35900014,-1.1585e-05,0.072,,,
22,-0.26897152,-8.264e-06,0.072,,,
23,-0.1879184,-9.794e-06,0.072,,,
24,-0.11736626,-9.232e-06,0.0718,,,
25,-0.060922741,-7.494e-06,0.0711,,,
26,-0.021202505,-5.995e-06,0.072,,,
27,-0.022982418,-2.862e-06,0.072,,,
28,-0.023057799,-2.29e-06,0.072,,,
29,-0.023131778,-1.707e-06,0.072,,,
30,-0.051417991,2.061e-06,0.072,,,
31,-0.10271969,3.227e-06,0.0722,,,
32,-0.17022526,6.11e-06,0.072,,,
33,-0.24952171,7.546e-06,0.0722,,,
34,-0.33780361,9.94e-06,0.072,,,
35,-0.43184851,6.87e-06,0.072,,,
36,-0.52715132,9.264e-06,0.072,,,
37,-0.60150563,10.858027,0.072,,,
38,-0.66548369,14.848579,0.0728,,,
39,-0.73545844,19.90886,0.0732,,,
40,-0.79477928,24.424164,0.074,,,
41,-0.8408998,28.174433,0.0743,,,
42,-0.87140973,30.399202,0.0743,,,
43,-0.88680079,31.30594,0.0743,,,
44,-0.8858215,30.899442,0.0743,,,
45,-0.8692989,28.76957,0.0743,,,
46,-0.83660379,25.404038,0.0743,,,
47,-0.7904265,21.071775,0.0743,,,
48,-0.72921345,16.364866,0.0732,,,
49,-0.65737814,11.404294,0.0732,,,
50,-0.59337225,7.9481722,0.073,,,
51,-0.52479521,4.7260849,0.072,,,
52,-0.4551874,1.5344133,0.072,,,
53,-0.38348361,-2.987e-06,0.0709,,,
54,-0.29194816,-1.1002e-05,0.0709,,,
55,-0.20739081,-9.087e-06,0.0718,,,
56,-0.13478134,-7.723e-06,0.072,,,
57,-0.073875871,-8.035e-06,0.0709,,,
58,-0.030192562,-6.995e-06,0.0713,,,
59,-0.020232378,-3.945e-06,0.072,,,
