,T,V,V_c,I,P,Mediciones p/s,Fecha,Periodo
0,0.043719172,53.06052836560897,-5.548e-06,-3.748648648648649e-10,0.373,0.3,Fri Sep 27 13:42:42 2024,50.0
1,0.11488656,139.43404713634695,-3.456e-06,-2.3351351351351353e-10,0.373,,,
2,0.18586832,225.58227599863645,-2.061e-06,-1.3925675675675674e-10,0.373,,,
3,0.25876758,314.05771204524433,-1.093e-06,-7.385135135135134e-11,0.373,,,
4,0.33116493,401.9239968603303,-5.72e-07,-3.864864864864865e-11,0.373,,,
5,0.40446426,490.8849851810532,-6.2e-08,-4.189189189189189e-12,0.373,,,
6,0.4767088,578.5658089371713,1.041e-06,7.033783783783784e-11,0.373,,,
7,0.54865373,665.8830060349164,1.988e-06,1.343243243243243e-10,0.373,,,
8,0.62187138,754.7448618879469,2.633e-06,1.7790540540540542e-10,0.373,,,
9,0.6952759,843.8335146270241,4.372e-06,2.954054054054054e-10,0.373,,,
10,0.76751158,931.5035815452063,9.222e-06,6.231081081081082e-10,0.373,,,
11,0.61880316,633.5845867024648,117.43648,0.007934897297297298,0.373,,,
12,0.6597713,662.1749623571015,138.56779,0.009362688513513514,0.373,,,
13,0.65859931,672.9185365956886,126.40181,0.008540662837837838,0.373,,,
14,0.6244929,651.6488672241778,106.27765,0.007180922297297297,0.373,,,
15,0.58944687,628.5703089265594,86.821993,0.005866350878378379,0.373,,,
16,0.55337056,604.1892606391469,67.418409,0.004555297905405405,0.373,,,
17,0.51607301,577.3585774832562,48.982281,0.003309613581081081,0.373,,,
18,0.47744716,548.0244302539646,31.437503,0.002124155608108108,0.373,,,
19,0.43589809,513.6139079427286,15.421284,0.0010419786486486487,0.373,,,
20,0.40161552,487.42756303933174,-7.3e-08,-4.932432432432433e-12,0.373,,,
21,0.32717109,397.07680802682,-4.143e-06,-2.7993243243243244e-10,0.373,,,
22,0.25413507,308.4353918599783,-6.11e-06,-4.1283783783783786e-10,0.373,,,
23,0.18154912,220.34021035667837,-7.567e-06,-5.112837837837838e-10,0.373,,,
24,0.1096275,133.05130387116552,-8.545e-06,-5.773648648648649e-10,0.373,,,
25,0.035871794,43.53642666986231,-8.733e-06,-5.900675675675675e-10,0.373,,,
26,0.02334169,28.329044582318755,-2.238e-06,-1.512162162162162e-10,0.373,,,
27,0.10988083,133.35875454090424,-9.16e-07,-6.189189189189189e-11,0.373,,,
28,0.1821336,221.04956631965487,6.45e-07,4.358108108108108e-11,0.373,,,
29,0.25417817,308.4876928780802,1.926e-06,1.3013513513513512e-10,0.373,,,
30,0.32676351,396.58213503341955,2.394e-06,1.6175675675675674e-10,0.373,,,
31,0.39946968,484.82322474631655,2.706e-06,1.8283783783783785e-10,0.373,,,
32,0.47219597,573.0887329522421,3.508e-06,2.37027027027027e-10,0.373,,,
33,0.54464488,661.0175946545068,3.82e-06,2.581081081081081e-10,0.373,,,
34,0.61753199,749.4782851342599,4.299e-06,2.9047297297297297e-10,0.373,,,
35,0.68958008,836.9206839480481,5.433e-06,3.670945945945946e-10,0.373,,,
36,0.76192704,924.7258073715193,1.0658e-05,7.201351351351351e-10,0.373,,,
37,0.6171152,632.3155051024214,116.65694,0.007882225675675677,0.373,,,
38,0.65772997,660.7374671967799,137.52779,0.009292418243243243,0.373,,,
39,0.6606095,674.4632881610046,127.29676,0.008601132432432433,0.373,,,
40,0.62601482,652.6007615308781,107.17286,0.007241409459459459,0.373,,,
41,0.5909849,629.6865004110227,87.572458,0.005917057972972973,0.373,,,
42,0.5550947,605.3171437166246,68.383058,0.004620476891891892,0.373,,,
43,0.51830934,579.2655117375424,49.789507,0.0033641558783783785,0.373,,,
44,0.47972774,550.0113052795735,32.218493,0.002176925202702703,0.373,,,
45,0.43835139,515.8882415582328,16.12444,0.0010894891891891892,0.373,,,
46,0.39248323,472.79662210242503,3.5473805,0.00023968787162162162,0.373,,,
47,0.34272519,415.9543079408688,-3.862e-06,-2.609459459459459e-10,0.373,,,
48,0.26968049,327.30235505117787,-3.737e-06,-2.525e-10,0.373,,,
49,0.19531914,237.05242986036646,-6.162e-06,-4.1635135135135135e-10,0.373,,,
